Age,Seniority,Orders,Items,AverageDiscount,TopCategory,BrowsingTime,EmailsOpened,SupportInteractions,TotalCart
25,3,4,5,0.23,Sports & outdoors,158.10319237996328,0,0,39.92
27,0,1,5,0.6,Beauty & Personal Care,17.563218170594986,1,2,13.89
31,1,3,3,0.29,Home & Kitchen,159.8382911970625,0,1,42.49
31,3,5,4,0.01,Beauty & Personal Care,71.8281133773319,3,0,36.89
30,1,2,10,0.4,"Clothing,Shoes & Jewelry",91.83440752487647,1,0,28.31
30,2,4,9,0.01,"Health, Household & Baby Care",277.2073310262748,1,0,62.48
24,1,3,4,0.02,Sports & outdoors,21.408608475909066,1,2,17.07
31,2,2,3,0.32,"Health, Household & Baby Care",87.15867447294772,1,1,28.69
33,0,3,4,0.28,Beauty & Personal Care,31.56228998062859,2,0,26.72
22,1,6,3,0.42,"Clothing,Shoes & Jewelry",399.8206756951866,1,3,80.85
24,0,1,2,0.32,Beauty & Personal Care,281.11831874176994,0,0,50.46
34,0,1,3,0.38,Home & Kitchen,376.90564864461703,0,1,71.57
31,2,4,4,0.27,Beauty & Personal Care,127.13513479120058,3,1,42.56
21,2,2,7,0.38,Electronics,53.26033897040721,1,0,15.51
28,2,3,4,0.31,"Clothing,Shoes & Jewelry",60.10091185584783,1,0,24.69
25,1,1,4,0.42,Toys & Games,72.99074554415266,1,2,19.09
19,4,3,6,0.74,"Clothing,Shoes & Jewelry",29.158925117004326,1,1,12.75
31,0,2,5,0.37,Beauty & Personal Care,263.3804900051372,1,0,56.53
37,1,1,5,0.56,Electronics,130.71860749086105,1,3,36.8
24,1,1,5,0.55,Beauty & Personal Care,76.0645543911126,0,2,19.68
25,1,2,3,0.66,"Clothing,Shoes & Jewelry",146.2296661939137,1,0,32.54
31,0,2,6,0.09,"Clothing,Shoes & Jewelry",2.1599687238084258,0,1,15.64
31,1,5,2,0.17,"Clothing,Shoes & Jewelry",86.91487404900157,1,1,37.42
17,1,5,4,0.37,"Clothing,Shoes & Jewelry",14.596074609346227,0,1,15.6
20,0,5,4,0.23,Beauty & Personal Care,451.47603644666555,1,2,85.82
34,0,1,2,0.09,"Health, Household & Baby Care",70.15469599683931,1,0,25.89
17,0,6,5,0.49,Beauty & Personal Care,59.711247906904674,2,2,28.19
17,0,2,7,0.83,"Clothing,Shoes & Jewelry",258.1489783352788,1,1,43.79
21,0,1,5,0.58,Beauty & Personal Care,60.305367016958215,0,0,15.05
18,1,3,3,0.1,Beauty & Personal Care,369.0492896192409,4,0,66.73
27,1,3,3,0.07,Electronics,374.027606245678,2,5,72.66
21,0,3,3,0.82,Home & Kitchen,37.728684074488314,2,1,17.72
25,0,3,8,0.35,Home & Kitchen,113.29895585763394,1,0,31.67
18,1,3,6,0.7,Electronics,403.21519672692665,3,0,69.84
27,0,4,6,0.36,Toys & Games,105.39662062659306,1,0,34.5
29,0,4,5,0.06,Toys & Games,18.995756617668945,1,0,23.11
33,2,5,1,0.24,Electronics,8.84817682972208,0,0,26.35
21,0,2,8,0.19,Electronics,2.096467380800416,4,0,9.86
35,0,0,4,0.32,Toys & Games,21.350358640207308,1,1,0.0
29,3,2,8,0.52,Toys & Games,430.5617891816055,3,0,78.76
15,2,1,2,0.14,Toys & Games,101.29829068558729,2,0,15.74
24,1,2,4,0.31,Beauty & Personal Care,84.39624763985681,4,0,25.48
25,2,4,10,0.35,Toys & Games,150.89741030584042,1,1,39.44
25,0,3,5,0.27,Toys & Games,113.48407154181605,2,4,32.27
18,4,2,6,0.43,Office Supplies,35.1907859556903,1,1,9.8
26,1,3,9,0.6,"Health, Household & Baby Care",8.896500814163304,1,0,16.35
12,1,0,10,0.74,Electronics,122.94318054855863,1,1,0.0
37,1,3,3,0.31,"Health, Household & Baby Care",291.275817659431,0,0,66.51
24,0,5,4,0.02,"Clothing,Shoes & Jewelry",116.209264697575,1,1,36.94
28,1,2,3,0.65,Home & Kitchen,541.7185938093236,3,0,95.62
27,0,4,5,0.5,Sports & outdoors,456.6532389849982,2,1,88.08
25,1,5,7,0.07,"Clothing,Shoes & Jewelry",120.30986291889596,2,0,38.34
23,2,3,9,0.75,Electronics,152.26282767252968,2,0,35.23
24,1,3,2,0.1,"Health, Household & Baby Care",27.742905630587725,0,1,17.42
26,2,3,6,0.47,Toys & Games,96.90977751437798,3,0,29.74
30,1,1,5,0.4,Electronics,58.69584845519362,3,1,21.39
25,0,3,5,0.17,Home & Kitchen,223.8635634621828,0,0,47.81
22,0,1,5,0.56,Beauty & Personal Care,13.415909800799795,0,4,9.38
34,1,1,5,0.38,Toys & Games,132.28572783554384,0,3,34.46
25,4,4,6,0.76,"Clothing,Shoes & Jewelry",217.97555543462212,3,1,49.47
19,0,3,4,0.22,"Clothing,Shoes & Jewelry",25.964391411081223,1,1,13.6
31,0,0,4,0.47,Home & Kitchen,87.98857623349627,0,0,0.0
29,1,3,1,0.84,"Health, Household & Baby Care",122.38494331390845,2,1,36.03
31,3,2,4,0.43,Home & Kitchen,128.23542899626116,1,3,34.87
29,0,4,4,0.51,"Clothing,Shoes & Jewelry",72.8754911156503,1,0,30.9
30,0,2,2,0.53,Beauty & Personal Care,38.601543183175764,0,1,21.67
23,0,2,4,0.27,Toys & Games,37.03418457315651,0,2,15.09
27,0,5,3,0.4,Toys & Games,59.991339854103835,2,5,31.83
31,1,3,9,0.49,Beauty & Personal Care,131.03037044188895,0,0,38.95
28,1,1,5,0.52,Home & Kitchen,9.666613846790208,1,0,11.98
30,2,3,3,0.81,Beauty & Personal Care,377.3416120110532,0,1,74.81
27,2,2,6,0.54,Toys & Games,2.1315924656117957,0,2,12.21
34,2,5,4,0.52,"Clothing,Shoes & Jewelry",59.33477419797027,1,0,35.01
27,1,1,5,0.13,Beauty & Personal Care,91.4802124582078,1,1,24.67
38,1,2,3,0.41,"Health, Household & Baby Care",195.74268424872764,0,1,50.05
25,1,0,6,0.34,"Clothing,Shoes & Jewelry",3.0009198124831795,1,1,0.0
31,1,2,8,0.57,Beauty & Personal Care,107.19725176900045,0,1,32.49
34,1,2,4,0.29,Beauty & Personal Care,181.38949805690137,1,0,46.19
19,0,0,7,0.2,Beauty & Personal Care,56.940553061194024,1,1,0.0
22,2,4,9,0.55,Toys & Games,220.1463013773518,1,1,47.5
30,1,1,7,0.63,Beauty & Personal Care,119.34373372829168,2,0,31.28
23,1,1,4,0.27,Beauty & Personal Care,138.06398249657215,1,0,28.45
23,0,1,3,0.3,Beauty & Personal Care,216.4291354146057,0,1,40.18
22,0,1,8,0.24,Beauty & Personal Care,315.20844393811007,1,1,54.79
23,0,2,2,0.32,"Clothing,Shoes & Jewelry",41.862446767996964,2,0,16.22
30,1,3,3,0.34,Toys & Games,35.24875341672417,0,3,22.89
25,0,5,3,0.46,Toys & Games,25.23463359873301,2,1,24.5
28,0,0,3,0.25,Beauty & Personal Care,0.9199710882408197,1,2,0.0
20,0,2,10,0.73,"Clothing,Shoes & Jewelry",141.89598739038058,2,0,28.97
23,1,1,5,0.64,Beauty & Personal Care,77.76069150223391,1,0,19.3
31,1,3,5,0.12,"Health, Household & Baby Care",197.48955735778102,0,0,48.02
25,1,2,5,0.75,Beauty & Personal Care,205.77566648506948,1,0,42.97
31,2,2,4,0.35,Home & Kitchen,22.173059414006456,1,0,18.84
30,1,3,5,0.51,"Clothing,Shoes & Jewelry",647.2773351890003,1,1,114.67
33,0,5,12,0.31,"Health, Household & Baby Care",63.43654412859624,2,0,36.66
27,0,4,3,0.84,Beauty & Personal Care,97.55059412930824,1,0,34.48
29,0,3,5,0.41,Toys & Games,166.4263044811813,1,2,42.42
31,0,7,6,0.18,"Clothing,Shoes & Jewelry",14.299377327660757,3,0,33.64
28,0,2,6,0.29,"Health, Household & Baby Care",7.848122701920982,1,0,15.04
30,0,2,7,0.35,Home & Kitchen,96.15664035413934,0,0,29.38
20,0,2,4,0.16,Beauty & Personal Care,69.5338542055197,1,1,19.4
28,0,3,3,0.38,"Clothing,Shoes & Jewelry",79.2513330770289,0,3,28.13
30,2,3,4,0.65,"Clothing,Shoes & Jewelry",118.81592633054119,1,0,34.89
14,1,2,3,0.04,Sports & outdoors,53.1033772849357,1,1,11.15
25,1,3,6,0.77,Home & Kitchen,149.49975440599135,1,0,36.64
27,0,3,5,0.79,"Clothing,Shoes & Jewelry",51.92653742350002,2,1,23.78
31,0,3,8,0.16,"Health, Household & Baby Care",5.419315091447772,1,0,20.0
27,1,3,4,0.17,Toys & Games,9.369488209832832,1,0,16.82
32,2,6,2,0.23,Beauty & Personal Care,302.83754724090994,1,2,74.89
30,1,4,5,0.67,"Health, Household & Baby Care",53.06750229634185,1,0,28.9
15,0,2,8,0.57,Toys & Games,109.74813803453068,1,1,20.27
23,0,1,2,0.59,Toys & Games,208.0522965708576,1,1,37.92
27,1,1,5,0.32,"Clothing,Shoes & Jewelry",72.79638723626819,2,1,20.76
20,2,1,3,0.4,Electronics,38.16253833823507,0,1,9.13
30,0,3,0,0.32,"Clothing,Shoes & Jewelry",31.362855065030296,1,0,22.42
29,0,1,1,0.51,"Clothing,Shoes & Jewelry",237.019698055049,2,2,47.22
28,0,3,2,0.54,Beauty & Personal Care,12.397109013029434,0,3,19.54
23,2,2,3,0.13,"Clothing,Shoes & Jewelry",38.456522233739264,1,2,15.03
25,2,2,8,0.53,"Clothing,Shoes & Jewelry",212.31167549608148,3,1,43.32
28,0,6,4,0.14,"Clothing,Shoes & Jewelry",122.91158377959735,0,3,43.76
24,1,6,3,0.19,Home & Kitchen,165.7984157140678,1,3,47.92
33,0,5,10,0.81,Beauty & Personal Care,2.308531615366005,0,1,27.51
21,0,3,6,0.68,"Health, Household & Baby Care",0.04393433206097122,1,0,11.51
18,0,2,2,0.76,Home & Kitchen,51.38956503524225,1,1,14.07
21,3,4,3,0.35,Beauty & Personal Care,10.956157967367572,1,0,16.24
22,2,4,4,0.31,Beauty & Personal Care,92.0332572193933,3,1,30.53
22,1,2,5,0.02,Beauty & Personal Care,103.93064711337776,1,0,25.67
21,2,3,4,0.32,Beauty & Personal Care,20.78921067063481,0,0,14.59
20,1,1,6,0.34,Home & Kitchen,27.027188038181706,0,1,8.35
29,2,6,2,0.17,Toys & Games,19.239912369023912,0,0,28.02
30,2,2,9,0.79,Toys & Games,55.00251539681228,2,0,22.96
24,2,1,4,0.4,"Health, Household & Baby Care",54.79547334246689,2,1,16.02
28,0,5,7,0.22,Toys & Games,8.21543274492623,1,4,24.33
15,0,2,2,0.11,Home & Kitchen,179.79685925182264,2,2,31.87
32,2,4,4,0.33,Toys & Games,479.8203977489029,1,1,93.94
26,0,1,6,0.11,Beauty & Personal Care,28.20853673971865,1,1,14.75
25,1,2,7,0.79,Beauty & Personal Care,77.62680389690382,2,2,24.52
27,0,2,4,0.27,"Health, Household & Baby Care",158.74735180765026,2,0,37.35
23,1,0,3,0.5,Beauty & Personal Care,29.720029905383512,1,0,0.0
28,0,4,2,0.78,"Health, Household & Baby Care",19.60209666965392,1,3,23.05
25,1,3,3,0.65,Home & Kitchen,23.162605949790635,1,1,17.83
