Age,Seniority,Orders,Items,AverageDiscount,TopCategory,BrowsingTime,EmailsOpened,SupportInteractions,TotalCart
21,2,4,7,0.14,"Clothing,Shoes & Jewelry",68.47362918097048,3,2,34.0
22,0,4,5,0.5,Toys & Games,29.258062890285018,1,0,28.28
22,1,2,6,0.37,"Health, Household & Baby Care",11.515517343256937,0,0,19.33
19,0,2,8,0.6,Toys & Games,74.49586087494946,1,0,26.83
25,1,1,5,0.58,Toys & Games,1.6827049582323765,2,1,17.67
24,0,1,13,0.51,Toys & Games,24.73223419258001,0,0,19.77
26,0,1,4,0.49,Electronics,78.18057801984754,0,1,29.23
27,0,0,4,0.73,Home & Kitchen,615.6728742670905,0,0,0.0
37,0,0,8,0.06,Toys & Games,216.69222193617662,1,0,0.0
15,1,0,5,0.59,Home & Kitchen,98.03643801649466,1,2,0.0
25,1,1,9,0.13,Electronics,151.95463105127976,0,0,39.28
24,0,1,6,0.39,Pet Supplies,109.21030804884847,1,0,33.29
18,0,8,10,0.21,Home & Kitchen,114.93360209378143,0,1,50.44
25,0,4,3,0.67,Beauty & Personal Care,66.57314594807634,4,1,38.9
26,0,2,5,0.4,"Clothing,Shoes & Jewelry",3.6191775081834785,1,1,21.47
18,1,3,4,0.33,Home & Kitchen,127.87297804183382,1,1,37.41
24,1,3,5,0.45,"Clothing,Shoes & Jewelry",0.11486853382837146,0,0,21.52
21,0,2,8,0.04,Home & Kitchen,15.028983282266193,3,0,20.93
30,0,6,6,0.43,"Clothing,Shoes & Jewelry",285.57652214953885,1,1,78.77
28,0,1,4,0.55,"Health, Household & Baby Care",140.77731303703106,1,0,40.88
27,4,1,4,0.42,"Clothing,Shoes & Jewelry",99.97099034449815,3,1,33.35
27,1,4,10,0.72,Toys & Games,22.4347792950142,0,1,30.42
25,0,2,7,0.2,"Clothing,Shoes & Jewelry",189.4830132227504,0,1,48.24
27,0,3,6,0.25,Beauty & Personal Care,36.11555444342298,0,2,31.35
19,0,1,4,0.31,"Health, Household & Baby Care",350.8071266318341,1,1,65.86
27,0,4,7,0.47,Toys & Games,41.510086813810425,2,0,34.36
31,0,0,6,0.26,Beauty & Personal Care,100.40136764646037,0,1,0.0
16,0,1,4,0.23,Home & Kitchen,24.990474931410812,1,0,14.66
27,0,7,7,0.22,"Clothing,Shoes & Jewelry",91.2153051708256,0,3,50.29
30,0,5,7,0.03,"Clothing,Shoes & Jewelry",291.99774231407,1,1,76.86
25,0,7,4,0.23,Toys & Games,78.65937834232376,1,3,47.46
